source_cell,axis,frozen_condition,audit_stage,order_in_stratum
AgCensus2015-16 T14-16 All/Marginal/area/MvF,gender,diff,1,1
AgCensus2015-16 T14-16 All/Medium/area/MvF,gender,diff,1,2
AgCensus2015-16 T14-16 SC/Large/number/MvF,gender,diff,1,3
AgCensus2015-16 T14-16 SC/Small/number/MvF,gender,diff,1,4
AgCensus2015-16 T14-16 All/Small/number/MvF,gender,diff,1,5
AgCensus2015-16 T14-16 ST/Large/number/MvF,gender,diff,1,6
AgCensus2015-16 T14-16 ST/Small/number/MvF,gender,diff,1,7
AgCensus2015-16 T14-16 All/Small/area/MvF,gender,diff,1,8
AgCensus2015-16 T14-16 SC/Medium/area/MvF,gender,diff,1,9
AgCensus2015-16 T14-16 All/Large/number/MvF,gender,diff,1,10
AgCensus2015-16 T14-16 SC/Medium/number/MvF,gender,diff,2,11
AgCensus2015-16 T14-16 ST/Marginal/number/MvF,gender,diff,2,12
AgCensus2015-16 T14-16 SC/Large/area/MvF,gender,diff,2,13
AgCensus2015-16 T14-16 All/Medium/number/MvF,gender,diff,2,14
AgCensus2015-16 T14-16 ST/Large/area/MvF,gender,diff,2,15
AgCensus2015-16 T14-16 SC/Marginal/area/MvF,gender,diff,2,16
AgCensus2015-16 T14-16 SC/Marginal/number/MvF,gender,diff,2,17
AgCensus2015-16 T14-16 All/Large/area/MvF,gender,diff,2,18
AgCensus2015-16 T14-16 ST/Marginal/area/MvF,gender,diff,2,19
AgCensus2015-16 T14-16 SC/Small/area/MvF,gender,diff,2,20
AgCensus2015-16 T14-16 All/femaleShare/number/LargevsMedium,gender,equal,1,1
AgCensus2015-16 T14-16 All/femaleShare/number/MarginalvsMedium,gender,equal,1,2
AgCensus2015-16 T14-16 SC/femaleShare/number/MarginalvsMedium,gender,equal,1,3
AgCensus2015-16 T14-16 ST/femaleShare/area/LargevsMedium,gender,equal,1,4
AgCensus2015-16 T14-16 SC/femaleShare/area/LargevsMedium,gender,equal,1,5
AgCensus2015-16 T14-16 ST/femaleShare/number/MarginalvsSmall,gender,equal,1,6
AgCensus2015-16 T14-16 SC/femaleShare/number/LargevsMedium,gender,equal,1,7
AgCensus2015-16 T14-16 ST/femaleShare/number/LargevsMedium,gender,equal,1,8
AgCensus2015-16 T14-16 All/femaleShare/area/LargevsMedium,gender,equal,1,9
AgCensus2015-16 T14-16 SC/femaleShare/number/MarginalvsSmall,gender,equal,1,10
AgCensus2015-16 T14-16 All/femaleShare/number/MediumvsSmall,gender,equal,2,11
AgCensus2015-16 T14-16 SC/femaleShare/area/MediumvsSmall,gender,equal,2,12
AgCensus2015-16 T14-16 SC/femaleShare/area/MarginalvsMedium,gender,equal,2,13
AgCensus2015-16 T14-16 All/femaleShare/area/MarginalvsMedium,gender,equal,2,14
AgCensus2015-16 T14-16 ST/femaleShare/area/MarginalvsMedium,gender,equal,2,15
AgCensus2015-16 T14-16 ST/femaleShare/number/MediumvsSmall,gender,equal,2,16
AgCensus2015-16 T14-16 ST/femaleShare/area/MarginalvsSmall,gender,equal,2,17
AgCensus2015-16 T14-16 ST/femaleShare/number/MarginalvsMedium,gender,equal,2,18
AgCensus2015-16 T14-16 SC/femaleShare/area/LargevsSmall,gender,equal,2,19
AgCensus2015-16 T14-16 SC/femaleShare/number/MediumvsSmall,gender,equal,2,20
AgCensus2015-16 T2-4 Tamil Nadu/All/number/MarginalvsMedium,landholding,diff,1,1
AgCensus2015-16 T2-4 Maharashtra/All/number/MarginalvsLarge,landholding,diff,1,2
AgCensus2015-16 T2-4 Manipur/All/number/SmallvsSemi-medium,landholding,diff,1,3
AgCensus2015-16 T2-4 Chhattisgarh/All/number/MarginalvsLarge,landholding,diff,1,4
AgCensus2015-16 T2-4 Tripura/SC/number/MarginalvsMedium,landholding,diff,1,5
AgCensus2015-16 T2-4 Maharashtra/All/number/Semi-mediumvsMedium,landholding,diff,1,6
AgCensus2015-16 T2-4 Tamil Nadu/ST/number/SmallvsLarge,landholding,diff,1,7
AgCensus2015-16 T2-4 West Bengal/SC/number/MarginalvsLarge,landholding,diff,1,8
AgCensus2015-16 T2-4 Rajasthan/ST/number/SmallvsLarge,landholding,diff,1,9
AgCensus2015-16 T2-4 Himachal Pradesh/All/number/MarginalvsSmall,landholding,diff,1,10
AgCensus2015-16 T2-4 Gujarat/All/number/Semi-mediumvsLarge,landholding,diff,2,11
AgCensus2015-16 T2-4 Kerala/SC/number/MarginalvsMedium,landholding,diff,2,12
AgCensus2015-16 T2-4 Gujarat/SC/number/MarginalvsMedium,landholding,diff,2,13
AgCensus2015-16 T2-4 Punjab/SC/number/Semi-mediumvsMedium,landholding,diff,2,14
AgCensus2015-16 T2-4 Maharashtra/SC/number/MarginalvsMedium,landholding,diff,2,15
AgCensus2015-16 T2-4 Chhattisgarh/SC/number/MarginalvsMedium,landholding,diff,2,16
AgCensus2015-16 T2-4 Meghalaya/ST/number/MarginalvsMedium,landholding,diff,2,17
AgCensus2015-16 T2-4 Nagaland/ST/number/Semi-mediumvsLarge,landholding,diff,2,18
AgCensus2015-16 T2-4 Arunachal Pradesh/ST/number/SmallvsLarge,landholding,diff,2,19
AgCensus2015-16 T2-4 Nagaland/All/number/SmallvsMedium,landholding,diff,2,20
AgCensus2015-16 T2-4 Andhra Pradesh/All/area/MarginalvsSemi-medium,landholding,equal,1,1
AgCensus2015-16 T2-4 Punjab/SC/number/SmallvsSemi-medium,landholding,equal,1,2
AgCensus2015-16 T2-4 Karnataka/All/area/SmallvsMedium,landholding,equal,1,3
AgCensus2015-16 T2-4 Sikkim/All/number/SmallvsSemi-medium,landholding,equal,1,4
AgCensus2015-16 T2-4 Jharkhand/All/area/SmallvsMedium,landholding,equal,1,5
AgCensus2015-16 T2-4 Tamil Nadu/All/number/Semi-mediumvsMedium,landholding,equal,1,6
AgCensus2015-16 T2-4 Himachal Pradesh/All/area/MarginalvsSmall,landholding,equal,1,7
AgCensus2015-16 T2-4 Telangana/All/area/MarginalvsSmall,landholding,equal,1,8
AgCensus2015-16 T2-4 Maharashtra/ST/area/SmallvsMedium,landholding,equal,1,9
AgCensus2015-16 T2-4 Arunachal Pradesh/ST/number/Semi-mediumvsMedium,landholding,equal,1,10
AgCensus2015-16 T2-4 Haryana/All/number/SmallvsSemi-medium,landholding,equal,2,11
AgCensus2015-16 T2-4 Assam/SC/area/MarginalvsSemi-medium,landholding,equal,2,12
AgCensus2015-16 T2-4 Uttar Pradesh/All/area/SmallvsSemi-medium,landholding,equal,2,13
AgCensus2015-16 T2-4 Jharkhand/ST/area/SmallvsLarge,landholding,equal,2,14
AgCensus2015-16 T2-4 Sikkim/All/area/SmallvsMedium,landholding,equal,2,15
AgCensus2015-16 T2-4 Bihar/All/number/SmallvsSemi-medium,landholding,equal,2,16
AgCensus2015-16 T2-4 Gujarat/All/area/SmallvsMedium,landholding,equal,2,17
AgCensus2015-16 T2-4 Haryana/SC/area/MarginalvsSmall,landholding,equal,2,18
AgCensus2015-16 T2-4 Madhya Pradesh/All/area/SmallvsMedium,landholding,equal,2,19
AgCensus2015-16 T2-4 Delhi/All/area/Semi-mediumvsMedium,landholding,equal,2,20
AgCensus2015-16 T2-4 Nagaland/All Classes/number/SCvsST,social_group,diff,1,1
AgCensus2015-16 T2-4 Himachal Pradesh/Medium/number/STvsOthers,social_group,diff,1,2
AgCensus2015-16 T2-4 Jammu & Kashmir/Small/number/SCvsOthers,social_group,diff,1,3
AgCensus2015-16 T2-4 Haryana/Medium/area/STvsOthers,social_group,diff,1,4
AgCensus2015-16 T2-4 Jharkhand/Medium/number/STvsOthers,social_group,diff,1,5
AgCensus2015-16 T2-4 Assam/All Classes/area/STvsOthers,social_group,diff,1,6
AgCensus2015-16 T2-4 D & N Haveli/All Classes/area/STvsOthers,social_group,diff,1,7
AgCensus2015-16 T2-4 Karnataka/All Classes/area/STvsOthers,social_group,diff,1,8
AgCensus2015-16 T2-4 Assam/Medium/number/STvsOthers,social_group,diff,1,9
AgCensus2015-16 T2-4 Haryana/All Classes/area/SCvsOthers,social_group,diff,1,10
AgCensus2015-16 T2-4 Uttar Pradesh/Marginal/number/SCvsOthers,social_group,diff,2,11
AgCensus2015-16 T2-4 Jharkhand/Small/number/SCvsOthers,social_group,diff,2,12
AgCensus2015-16 T2-4 Bihar/All Classes/area/STvsOthers,social_group,diff,2,13
AgCensus2015-16 T2-4 Telangana/Marginal/number/SCvsOthers,social_group,diff,2,14
AgCensus2015-16 T2-4 Odisha/Marginal/number/SCvsOthers,social_group,diff,2,15
AgCensus2015-16 T2-4 Jammu & Kashmir/Marginal/number/SCvsOthers,social_group,diff,2,16
AgCensus2015-16 T2-4 Haryana/All Classes/area/STvsOthers,social_group,diff,2,17
AgCensus2015-16 T2-4 Tamil Nadu/Medium/number/STvsOthers,social_group,diff,2,18
AgCensus2015-16 T2-4 A&N Islands/All Classes/area/SCvsOthers,social_group,diff,2,19
AgCensus2015-16 T2-4 Himachal Pradesh/Small/area/SCvsOthers,social_group,diff,2,20
AgCensus2015-16 T2-4 Maharashtra/Marginal/number/SCvsST,social_group,equal,1,1
AgCensus2015-16 T2-4 Maharashtra/Small/area/SCvsST,social_group,equal,1,2
AgCensus2015-16 T2-4 Uttarakhand/Small/area/SCvsST,social_group,equal,1,3
AgCensus2015-16 T2-4 Rajasthan/Small/area/SCvsST,social_group,equal,1,4
AgCensus2015-16 T2-4 Himachal Pradesh/Semi-medium/number/SCvsST,social_group,equal,1,5
AgCensus2015-16 T2-4 Karnataka/Large/number/SCvsST,social_group,equal,1,6
AgCensus2015-16 T2-4 Rajasthan/Semi-medium/area/SCvsST,social_group,equal,1,7
AgCensus2015-16 T2-4 Karnataka/Semi-medium/number/SCvsST,social_group,equal,1,8
AgCensus2015-16 T2-4 Tripura/All Classes/area/STvsOthers,social_group,equal,1,9
AgCensus2015-16 T2-4 Uttarakhand/Small/number/SCvsST,social_group,equal,1,10
AgCensus2015-16 T2-4 Telangana/Marginal/number/SCvsST,social_group,equal,2,11
AgCensus2015-16 T2-4 Andhra Pradesh/Small/number/SCvsST,social_group,equal,2,12
AgCensus2015-16 T2-4 Tamil Nadu/Semi-medium/number/SCvsST,social_group,equal,2,13
AgCensus2015-16 T2-4 Andhra Pradesh/Semi-medium/number/SCvsST,social_group,equal,2,14
AgCensus2015-16 T2-4 Maharashtra/Semi-medium/number/SCvsST,social_group,equal,2,15
AgCensus2015-16 T2-4 Tamil Nadu/Semi-medium/area/SCvsST,social_group,equal,2,16
AgCensus2015-16 T2-4 Jharkhand/Semi-medium/number/STvsOthers,social_group,equal,2,17
AgCensus2015-16 T2-4 Andhra Pradesh/Small/area/SCvsST,social_group,equal,2,18
AgCensus2015-16 T2-4 Karnataka/All Classes/area/SCvsST,social_group,equal,2,19
AgCensus2015-16 T2-4 Uttarakhand/Semi-medium/number/SCvsST,social_group,equal,2,20
